name,archetype,region,platforms,languages,pt_br,price_model,photo_diagnosis,photo_quality_check,capture_guidance,multi_image,organ_selection,top_k_confidence,differential_diagnosis,unknown_handling,offline,history,geo_field_link,regional_alerts,risk_forecast,library,ipm_recommendations,human_expert,community,reports_sharing,web_app,ai_publicly_claimed,store_rating_volume,key_strength,key_weakness,source_confidence
Rumo Pragas,photo-diagnosis-agro,Brazil,iOS+Android (web=landing),pt-BR/en/es,yes,free no-ads,yes,partial (server invalid_image only),yes (static pre-capture tips),no (mono-image),no,yes (raw uncalibrated %),no,yes (fail-closed <0.5),partial (library/MIP offline; inference online),yes (50 no pagination),no (coarse GPS only),partial (local climate notif),partial (local climate rules),yes (18 crops/74 pests MIP),yes (MIP curated + AGROFIT),no,no (by design),yes (PDF + WhatsApp),no (landing only),partial (hypothesis lang; Agrio undeclared),n-a (pre-launch/free),free+PT-BR+MIP+AGROFIT structured,no photo-quality gate; mono-image; no explainability,observed (code audit)
Plantix,photo-diagnosis-agro,Germany (HELM BR),Android only (iOS=clone),18 langs incl PT-BR,yes,free (input marketplace),yes,partial,partial,no,no,partial,no,partial,no,yes,partial,yes (district disease push),partial (spray timing),yes (cultivation tips),yes (chem+biological),partial (community experts),yes (Q&A largest),yes,no,yes,Play BR 4.6/110k 10M+,community+regional alerts+treatment,Android-only; crop gaps; input-sale tie,confirmed
Agrio,photo-diagnosis-agro,Israel,iOS+Android,12 langs incl PT,yes,freemium (ads+sub),yes,partial,partial,partial,no,yes,partial,partial,no,yes,yes (field weather),yes (AI regional),yes (degree-day/chill),yes,yes,yes (experts respond),partial (team scouting),yes (voice scouting),yes,yes,iOS BR 4.87/93 ~500-770k,photo+human experts+regional+forecast,aggressive ads; no dissent; hard cancel,confirmed
xarvio Scouting,photo-diagnosis-agro,Germany (BASF),defunct (out of stores 2022),16+ langs incl PT,yes,free (was),yes (historic),partial,partial,partial,no,partial,no,no,no,yes (diary),yes,yes (SCOUTING Radar community),partial,partial,partial,no,yes (Radar network),yes,yes,yes,defunct,Radar community regional alerts (network effect),discontinued; absorbed into paid FIELD MANAGER,confirmed-defunct
Plant.id/Kindwise,api-b2b,Czech Republic,API (no consumer app)+web batch,15+ langs (pt inferred),partial,B2B EUR0.05/credit,yes (engine),no (FAQ: shoot diseased part),partial (FAQ),yes,no (but disease part),yes (top-3 93%/top-1 85%),yes (look-alikes as class),yes (disease_level=general; is_plant),no,n-a,no,no,no,yes (embedded treatment/severity/EPPO),yes (treatment instructions),no,no,n-a,yes (batch tool),yes (288/548 classes accuracy),n-a,gold-standard top-k + benign look-alikes + abiotic,paid API; no offline,confirmed
PlantVillage Nuru,academic/public,Africa/SE-Asia,Android (iOS thin),swahili/twi/hindi/fr/en,no,free (nonprofit),yes,no,partial (6-leaf prompt),yes (6 leaves),no,partial (object detection),no,partial,yes (on-device),partial,partial (research georef),partial (research),no,partial (via CABI),partial (local advice),yes (blend),no,no,no,yes (2x human claim),iOS 5/3 (thin),on-device offline + honest published accuracy,narrow crops; no PT-BR; modest single-leaf acc,confirmed+paper
CABI PlantwisePlus,academic/public,Global dev countries,Android+iOS+web,100+ langs,partial,free (donor),partial (via Plantix),no,no,n-a,no,n-a,no,n-a,yes (country download),no,no,no,no,yes (15k+ curated IPM),yes (curated safe advice),yes (plant clinics),no,no,yes (Knowledge Bank),no (content-first),n-a,curated IPM library moat,photo-diag outsourced; not BR-first,confirmed
Rice Doctor (IRRI),academic/public,Asia (rice),iOS+Android+web,en/tagalog/odia,no,free,no (interactive key),n-a,n-a,n-a,partial (symptom questions),no,yes (key narrows),yes (covers abiotic),yes,no,no,no,no,yes (90+ incl abiotic/nutritional),yes,no,no,no,yes,no,thin (1 review),interactive key incl abiotic disorders,slow Q&A; single crop; no photo,confirmed
Leaf Doctor,academic/public,Global,iOS+Android,en,no,free,no (severity only),no,partial (manual color-mark),no,no,no,no,no,yes (local pixel),no,no,no,no,no,no,no,no,partial,no,no,iOS 1.96/23,rigorous severity quantification,no diagnosis -> frustration,confirmed
Tumaini,academic/public,Global (banana),Android,unclear,no,free,yes (banana),no,no,no,no,partial,no,no,no (server),no,partial (research surveillance),partial (research),no,partial,partial (mgmt steps),partial (HITL research),no,no,no,yes (~90% alleged),~3k downloads,single-crop depth + surveillance path,1 crop; low traction; no PT-BR,confirmed+alleged
IPM Decisions,academic/public forecast,Europe,web,multi EU,no,free,no,n-a,n-a,n-a,n-a,n-a,n-a,n-a,no (web),n-a,yes (farm location),partial,yes (25+ climate DSS),partial (DSS),yes (timing/targeting),no,no,partial,yes,no (validated models),n-a,climate predictive DSS aggregator,web-only EU; no photo; consultant curve,confirmed
Plantum,photo-id-consumer,International,iOS+Android+web,multi,partial,freemium (~US$60/yr),yes (houseplant health),no,no,no,no,partial,no,no,no,yes (diary),no,no,no,yes (species),no (care tips),no,no,yes,yes,yes (33k species),iOS 4.58/118k,retention machine (reminders/diary/sensor),houseplant not agro; aggressive paywall,confirmed
MyPestGuide Reporter,public/gov,Australia,iOS+Android+web,en,no,free,no (human ID),no,partial,yes (4 photos),no,no,no,yes (human),yes (GPS offline),partial,yes (GPS reports),partial (surveillance),no,yes (sibling apps),partial,yes (DPIRD verify),partial (participatory),yes (report),yes,no,iOS 3.89/18,human-verified surveillance + offline capture,latency; needs gov expert team,confirmed
Taranis,scouting-commercial,USA/Israel,web+drone (mobile secondary),en,partial (BR partners),B2B per-hectare,yes (aerial not phone),n-a (drone),n-a,yes (aerial),n-a,partial,partial,no,no,yes,yes,no,partial (Ag Assistant),partial,partial,yes (agronomist),no,yes,yes,yes (0.3mm; 500M pts),n-a,leaf-level aerial resolution + scale,drone+contract; not phone/free,confirmed model/alleged specs
Trapview (EFOS),forecast-hardware,Slovenia (50+ incl BR),hardware+web+mobile,multi,partial,hardware subscription,partial (trap camera auto),n-a,n-a,n-a,n-a,partial (60+ species),no,partial (human 24h),n-a,yes,yes,yes (occurrence maps),yes (population prediction),partial,partial,yes (24h verify),no,yes,yes,yes (60+ species),n-a,automatic continuous monitoring + prediction,expensive hardware; lepidoptera-only,confirmed
Semios,forecast-hardware,Canada,hardware+web+mobile,en,no,B2B hardware+sub,no (sensors),n-a,n-a,n-a,n-a,n-a,n-a,n-a,n-a,yes,yes,partial,partial (real-time optimize),no,yes (auto pheromone action),no,no,yes,yes,partial,n-a,closes loop detect->act (mating disruption),capital-intensive; orchard niche NA,confirmed
Pessl/METOS FieldClimate,forecast-hardware,Austria (global),station+web+iOS/Android,multi,partial,EUR2000 station+licenses,no,n-a,n-a,n-a,n-a,n-a,n-a,n-a,n-a,yes,yes,partial,yes (80+ disease models),yes (models),yes (timing),no,no,yes,yes,no (phenological models),n-a,validated 80+ disease models,EUR2000 station; no image-diag,confirmed (prices)
RIMpro,forecast (uses station data),France/EU,web/cloud,en+EU,no,~EUR250/yr,no,n-a,n-a,n-a,n-a,n-a,n-a,n-a,no,yes,yes (station+biofix),no,yes (fruit disease models),partial,yes (spray timing),no,no,partial,yes,no,n-a,deeply validated fruit disease models (cheap),narrow temperate orchard; no visual,confirmed
Pest Prophet,forecast-no-hardware,USA,iOS+Android+web,en,no,freemium (1 field free/US$100yr),no,n-a,n-a,n-a,n-a,n-a,n-a,n-a,no,yes,yes (fields),no,yes (degree-day no hardware),partial,yes,no,no,partial,yes,no,low volume,degree-day forecast without hardware (copyable),no photo-diag; pricey per field,confirmed
Climate FieldView,scouting-manual,USA (strong BR),iOS+Android+web,multi incl PT-BR,yes,freemium+paid,no (manual scouting registro),n-a,n-a,partial (pins),no,no,no,no,partial (Cab),yes,yes (field maps),no,partial,partial,partial,no,no,yes,yes,partial (data analytics),n-a (large),Bayer scale + PT-BR + data ecosystem,scouting manual; no auto photo-ID,confirmed
OneSoil,scouting-satellite,Europe,iOS+Android+web,multi,partial,free (Yield paid),no (NDVI anomaly),n-a,n-a,partial (notes+photo),no,no,no,no,yes,yes (NDVI),yes (fields),no,partial (weather),no,partial (spray window),no,partial (share coords),yes,yes,partial (NDVI),positive moderate,free+offline+NDVI retention,no pest ID (anomaly only),confirmed
SIMA,LATAM-scouting,Argentina->8 LATAM incl BR,Android+iOS+web,es (partial pt-BR),partial,freemium (10 fields free),no (manual scouting),n-a,n-a,partial,no,no,no,no,yes,yes,yes,partial (protocol alerts),partial (NDVI),partial (protocols),yes (protocols/orders),no,no,yes (Excel/PDF),yes,no,Android 4.12/954 iOS BR 5/5,pro MIP scouting workflow offline,no photo-diag; partial PT-BR; teams-oriented,confirmed
Auravant,LATAM-ERP,Argentina (+BR/ES),web+Android+iOS,es/en/pt,yes,freemium (US$50-150),no (scouting protocol),n-a,n-a,partial,no,no,no,no,partial,yes,yes,partial (traps via Metos),partial,partial,yes (AAPPCE protocol),no,no,yes,yes,partial (partner traps),Play 4.87/1299 iOS BR 4.92/72,complete platform + high ratings + PT-BR,pest module secondary; no photo-ID,confirmed
Cromai,BR-visual-AI,Brazil (cane),web/B2B (no app),pt-BR,yes,B2B ~R$17/ha,partial (aerial weeds/gaps only),n-a,n-a,yes (aerial),n-a,partial,no,no,no,yes,yes,no,no,no,partial (prescription maps),no,no,yes,yes,yes (150M refs),n-a,proven BR visual-AI at industrial scale,weeds-only; no producer app; no insects/disease,confirmed
Tarvos,BR-trap-hardware (shrinking),Brazil,hardware+web (no app),pt-BR,yes,comodato+subscription,partial (trap camera),n-a,n-a,n-a,n-a,partial,no,no,n-a,yes,yes,partial,yes (population),partial,yes,no,no,yes,yes,yes (count/predict),n-a,continuous trap data + MAPA export credential,shrinking 2026; hardware; insects-only,inferred-shrinking
Agrosmart,BR-climate/ESG,Brazil (+PY/AR/US),web+apps (BoosterAGRO free),pt-BR/es/en,yes,free (BoosterAGRO)/B2B,no,n-a,n-a,n-a,n-a,n-a,n-a,n-a,no,yes,partial,partial (custom alerts),partial (climate risk),partial,no,no,partial (BoosterAGRO),partial,yes,partial (climate models),iOS BR 4.4/80,climate risk + corporate reach,no pest photo-ID; pivoted ESG,confirmed
Solinftec,BR-robot,Brazil (+US),web+robot+apps,pt/en/es,yes,~R$370k/robot,partial (robot scouting),n-a,n-a,yes,n-a,partial,no,no,n-a (hardware),yes,yes,no,partial,no,yes (auto spray/Hunter),no,no,yes,yes,yes (embedded CV),iOS Alice 4.0/12,closes loop detect->act autonomous,R$370k; enterprise only; no phone,confirmed
manejo.app,BR-public-MIP,Brazil (PR),site down (no stores),pt-BR,yes,free,no (MIP protocol),n-a,n-a,n-a,n-a,n-a,no,no,unclear,partial,no,no,no,partial,partial (control levels),no,no,no,partial (down),no,n-a (absent),official MIP methodology backing,not publicly available,verified-unavailable
MonitoraOeste,BR-public-regional-alert,Brazil (West Bahia),web/tool,pt-BR,yes,free,no,n-a,n-a,n-a,n-a,n-a,no,no,no,partial,partial (regional),yes (real-time regional),yes (epidemiology),partial,partial,partial (Embrapa),no,partial,yes,no,n-a,regional risk-alert model (Embrapa credibility),1 region/2 crops; no photo,confirmed (press)
Picture Insect,photo-id-consumer,Glority (global),iOS+Android,multi,partial,freemium (3 free),yes (insect ID),no (accepts bad photo),no,no,n-a,yes (top-3),no,no (forces top-3),no,yes (collection),no,no,no,yes (species encyclopedia+danger),no,no,no,yes,no,yes (99%; 4000+),~4.6 alleged,species encyclopedia is-it-dangerous,3-free paywall -> bad reviews; no photo coaching,confirmed
Seek by iNaturalist,photo-id-consumer,iNaturalist (global),iOS+Android,multi,partial,free no-ads,no (species not disease),yes (live camera coaching),yes (live viewfinder),n-a (live),no,partial (taxonomic ladder),partial,yes (taxonomic ladder),yes (on-device),yes,partial (privacy),no,no,yes (species),no,no (iNat sibling),partial (iNat sibling),yes,no,partial,positive,taxonomic ladder + live coaching + offline,no disease diagnosis; needs close-up,confirmed
Pl@ntNet,photo-id + citizen science,France consortium,iOS+Android+API,54-60 langs,yes,free (API paid),no (species not disease),partial (weak recovery),partial,yes (1-5 organs),yes (leaf/flower/fruit/bark/auto),yes (0-1 + reference photos),partial (reference photos),partial (top-k+community),no,yes,partial (obs map),no,no,yes (78k species),no,no (community votes),yes (citizen science),yes,yes,yes (1.5B IDs),positive,organ selection + multi-image + reference photos,identifies plant not disease,confirmed
FarmRise (Bayer),advisory-smallholder,India/global,Android,10 langs,no,free (input funnel),partial (human async),no,no,partial,no,no,no,yes (human),partial,partial,partial (Locate My Farm),partial,partial (weather),yes (advisory+prices),yes,yes (Bayer agronomists),no,partial,no,partial (chatbot 2025),5M users,hybrid AI+human hub (diag+weather+price),India-biased; photo diagnosis slow,confirmed
DeHaat,advisory+marketplace,India,Android,regional langs,no,free (input marketplace),partial (human+expert),no,no,partial,no,no,no,yes (human),partial (voice),partial,partial,partial,no,yes,yes (dose via expert),yes,no,partial,no,partial,1.4M farmers,diagnosis->input transaction loop + voice,conflict of interest (sells input),confirmed
BharatAgri,advisory-paid+ecommerce,India,Android,regional langs,no,paid advisory+marketplace,partial (AI+local consultancy),no,no,partial,no,no,no,yes (human),partial,partial,partial,partial,no,yes,yes,yes,no,partial,no,partial (AI+agronomy),alleged,AI + local agronomy bundle continuous,paid advisory friction; conflict of interest,confirmed
Sencrop,forecast-hardware,France (ISAGRI),station+iOS/Android,multi,partial,hardware subscription,no,n-a,n-a,n-a,n-a,n-a,n-a,n-a,no,yes,yes,yes (SMS/email/call before),yes (leaf-wetness disease pred),partial (3rd-party DSS),yes (spray window),no,partial (shared stations),yes,yes,partial,alleged,predictive disease alerts before symptom,hardware cost; no visual diagnosis,confirmed
Cropwise Protector,scouting-commercial,Brazil (Syngenta),Android+iOS+web,pt-BR,yes,B2B (client-only),no (monitor registers),n-a,n-a,partial,no,no,no,no,yes (Scouting),yes,yes (fixed points/heat maps),partial (heat maps),partial (ClimaTempo),no,partial,no,no,yes,yes,no,Play BR 4.5/72 10k+ iOS 5/14,precision scouting + pest pressure heat maps,closed to clients; no photo-ID,confirmed
Agrobase,reference-compendium,Lithuania,Android+iOS,multi (PT-BR partial),partial,freemium (photos paid),no (manual browse),n-a,n-a,n-a,no,n-a,no,n-a,yes (premium catalog),no,no,no,no,yes (pests+registered pesticides by country),partial (pesticides listed no dose),no,no,no,no,no,Play BR 4.7/6.96k 500k+,registered-pesticide compendium by country,no photo-ID; content paywalled,confirmed
FuturCrop,forecast-no-hardware,Spain,web+app,es (partial PT),partial,subscription (pay per crop/pest),no,n-a,n-a,n-a,n-a,n-a,n-a,n-a,no,yes,yes (coordinates),partial,yes (degree-day ~7d ahead),partial,yes (IRAC/biological),no,no,yes,yes,no (bio models),minimal BR,pest phenology forecast without hardware,no photo; no free tier; ES-first,confirmed
PictureThis,photo-id-consumer,Glority (global),iOS+Android,multi incl PT-BR,yes,freemium (hard paywall ~R$199/yr),yes (plant health),partial (guided camera),yes,no,no,partial,no,partial,no,yes (garden),no,no,no,yes (care sheets),no (care),partial (ask expert premium),no,yes,no,yes,iOS BR 4.79/48.6k 10M+,polished UX + care reminders (retention),trial->annual = mass 1-star; houseplant not crop,confirmed
Google Lens,adjacent-baseline,Global,iOS+Android+web,multi incl pt,yes,free,partial (visual search unstructured),no,no,no,no,no (search results not %),no,partial (preliminary),no,partial,no,no,no,no (web links),no,no,no,yes,yes,yes (visual search),n-a (feature),free universal zero-friction (the default already in pocket),no structured diagnosis/regional/management,confirmed
Embrapa/MAPA suite,public-reference,Brazil,Android (+web AGROFIT),pt-BR,yes,free,no (reference guides),n-a,n-a,n-a,no,n-a,no,n-a,yes,no,no,no,no,yes (authoritative fact sheets+natural enemies),yes (management by stage),no,no,no,yes (AGROFIT),no,low,authoritative PT-BR content + AGROFIT source,no AI/photo; dated UX,confirmed
